Season,Home Team,Away Team,Result,Winner,Diff
2019,Bulls,Lions,48 : 27,,
2019,Stormers,Sharks,9 : 12,,
2019,Brumbies,Reds,40 : 27,,
2019,Hurricanes,Blues,29 : 24,,
2019,Jaguares,Sunwolves,52 : 10,,
2019,Rebels,Chiefs,8 : 59,,
2019,Highlanders,Waratahs,49 : 12,,
2019,Jaguares,Sharks,34 : 7,,
2019,Stormers,Sunwolves,31 : 18,,
2019,Lions,Hurricanes,17 : 37,,
2019,Waratahs,Brumbies,24 : 35,,
2019,Crusaders,Rebels,66 : 0,,
2019,Reds,Blues,29 : 28,,
2019,Highlanders,Bulls,24 : 24,,
2019,Lions,Stormers,41 : 22,,
2019,Sharks,Hurricanes,17 : 30,,
2019,Reds,Jaguares,23 : 34,,
2019,Chiefs,Crusaders,40 : 27,,
2019,Sunwolves,Brumbies,19 : 42,,
2019,Rebels,Waratahs,15 : 20,,
2019,Blues,Bulls,22 : 22,,
2019,Sharks,Lions,27 : 17,,
2019,Stormers,Highlanders,34 : 22,,
2019,Waratahs,Jaguares,15 : 23,,
2019,Crusaders,Blues,19 : 11,,
2019,Sunwolves,Rebels,7 : 52,,
2019,Brumbies,Bulls,22 : 10,,
2019,Chiefs,Reds,19 : 13,,
2019,Stormers,Crusaders,19 : 19,,
2019,Lions,Highlanders,38 : 29,,
2019,Reds,Waratahs,32 : 40,,
2019,Blues,Chiefs,23 : 8,,
2019,Rebels,Bulls,17 : 32,,
2019,Hurricanes,Jaguares,20 : 28,,
2019,Brumbies,Sunwolves,33 : 0,,
2019,Lions,Waratahs,29 : 28,,
2019,Chiefs,Sharks,29 : 23,,
2019,Highlanders,Jaguares,32 : 27,,
2019,Bulls,Crusaders,13 : 45,,
2019,Rebels,Reds,30 : 24,,
2019,Blues,Hurricanes,12 : 22,,
2019,Jaguares,Stormers,30 : 25,,
2019,Bulls,Waratahs,28 : 21,,
2019,Brumbies,Blues,26 : 21,,
2019,Highlanders,Chiefs,31 : 31,,
2019,Hurricanes,Rebels,29 : 19,,
2019,Reds,Sunwolves,32 : 26,,
2019,Crusaders,Sharks,21 : 21,,
2019,Jaguares,Brumbies,20 : 15,,
2019,Stormers,Bulls,24 : 23,,
2019,Waratahs,Sharks,15 : 23,,
2019,Hurricanes,Chiefs,47 : 19,,
2019,Sunwolves,Highlanders,0 : 52,,
2019,Crusaders,Lions,36 : 10,,
2019,Stormers,Brumbies,17 : 19,,
2019,Waratahs,Rebels,23 : 20,,
2019,Highlanders,Blues,24 : 12,,
2019,Sharks,Reds,14 : 21,,
2019,Sunwolves,Hurricanes,23 : 29,,
2019,Chiefs,Lions,17 : 23,,
2019,Bulls,Reds,32 : 17,,
2019,Sharks,Jaguares,17 : 51,,
2019,Brumbies,Lions,31 : 20,,
2019,Chiefs,Blues,33 : 29,,
2019,Rebels,Stormers,24 : 41,,
2019,Crusaders,Highlanders,43 : 17,,
2019,Bulls,Jaguares,20 : 22,,
2019,Rebels,Sunwolves,42 : 15,,
2019,Blues,Waratahs,32 : 29,,
2019,Crusaders,Brumbies,36 : 14,,
2019,Lions,Sharks,5 : 42,,
2019,Reds,Stormers,24 : 12,,
2019,Highlanders,Hurricanes,28 : 31,,
2019,Jaguares,Chiefs,27 : 30,,
2019,Sharks,Bulls,16 : 19,,
2019,Reds,Rebels,13 : 32,,
2019,Blues,Stormers,24 : 9,,
2019,Waratahs,Sunwolves,29 : 31,,
2019,Hurricanes,Crusaders,8 : 32,,
2019,Reds,Brumbies,36 : 14,,
2019,Sharks,Rebels,28 : 14,,
2019,Bulls,Chiefs,20 : 56,,
2019,Sunwolves,Lions,24 : 37,,
2019,Waratahs,Crusaders,20 : 12,,
2019,Hurricanes,Stormers,34 : 28,,
2019,Blues,Highlanders,33 : 26,,
2019,Lions,Rebels,36 : 33,,
2019,Highlanders,Crusaders,0 : 0,,
2019,Sunwolves,Reds,31 : 34,,
2019,Stormers,Jaguares,35 : 8,,
2019,Brumbies,Waratahs,19 : 13,,
2019,Chiefs,Hurricanes,23 : 23,,
2019,Bulls,Sharks,37 : 14,,
2019,Lions,Jaguares,47 : 39,,
2019,Waratahs,Reds,28 : 17,,
2019,Blues,Sunwolves,28 : 20,,
2019,Crusaders,Chiefs,57 : 28,,
2019,Rebels,Brumbies,29 : 26,,
2019,Hurricanes,Highlanders,25 : 22,,
2019,Jaguares,Blues,23 : 19,,
2019,Sharks,Stormers,11 : 16,,
2019,Lions,Bulls,12 : 30,,
2019,Reds,Crusaders,12 : 22,,
2019,Chiefs,Sunwolves,15 : 30,,
2019,Rebels,Highlanders,24 : 19,,
2019,Hurricanes,Brumbies,43 : 13,,
2019,Jaguares,Bulls,27 : 12,,
2019,Stormers,Lions,19 : 17,,
2019,Sharks,Blues,26 : 7,,
2019,Brumbies,Chiefs,54 : 17,,
2019,Crusaders,Hurricanes,38 : 22,,
2019,Sunwolves,Waratahs,30 : 31,,
2019,Highlanders,Reds,36 : 31,,
2019,Jaguares,Lions,16 : 25,,
2019,Bulls,Stormers,40 : 3,,
2019,Sunwolves,Sharks,10 : 45,,
2019,Waratahs,Hurricanes,19 : 20,,
2019,Blues,Crusaders,22 : 24,,
2019,Brumbies,Rebels,27 : 34,,
2019,Chiefs,Highlanders,27 : 30,,
2018,Crusaders ,Lions,37 : 18,,
2018,Lions ,Waratahs,44 : 26,,
2018,Crusaders ,Hurricanes,30 : 12,,
2018,Lions ,Jaguares,40 : 23,,
2018,Waratahs ,Highlanders,30 : 23,,
2018,Crusaders ,Sharks,40 : 10,,
2018,Hurricanes ,Chiefs,32 : 31,,
2018,Sharks,Jaguares,20 : 10,,
2018,Lions,Bulls,38 : 12,,
2018,Waratahs,Brumbies,31 : 40,,
2018,Crusaders,Blues,54 : 17,,
2018,Highlanders,Rebels,43 : 37,,
2018,Reds,Sunwolves,48 : 27,,
2018,Chiefs,Hurricanes,28 : 24,,
2018,Stormers,Sharks,27 : 16,,
2018,Bulls,Jaguares,43 : 34,,
2018,Waratahs,Sunwolves,77 : 25,,
2018,Hurricanes,Blues,42 : 24,,
2018,Chiefs,Brumbies,24 : 19,,
2018,Reds,Rebels,37 : 23,,
2018,Crusaders,Highlanders,45 : 22,,
2018,Jaguares,Stormers,25 : 14,,
2018,Sharks,Lions,31 : 24,,
2018,Sunwolves,Bulls,42 : 37,,
2018,Brumbies,Hurricanes,24 : 12,,
2018,Highlanders,Chiefs,22 : 45,,
2018,Rebels,Waratahs,26 : 31,,
2018,Blues,Reds,39 : 16,,
2018,Brumbies,Sunwolves,41 : 31,,
2018,Reds,Waratahs,41 : 52,,
2018,Chiefs,Crusaders,20 : 34,,
2018,Blues,Rebels,10 : 20,,
2018,Highlanders,Hurricanes,30 : 14,,
2018,Stormers,Lions,23 : 26,,
2018,Bulls,Brumbies,28 : 38,,
2018,Reds,Highlanders,15 : 18,,
2018,Chiefs,Waratahs,39 : 27,,
2018,Jaguares,Sharks,29 : 13,,
2018,Rebels,Sunwolves,40 : 13,,
2018,Crusaders,Hurricanes,24 : 13,,
2018,Jaguares,Bulls,54 : 24,,
2018,Lions,Brumbies,42 : 24,,
2018,Sharks,Chiefs,28 : 24,,
2018,Waratahs,Highlanders,41 : 12,,
2018,Blues,Crusaders,24 : 32,,
2018,Sunwolves,Stormers,26 : 23,,
2018,Hurricanes,Reds,38 : 34,,
2018,Bulls,Sharks,39 : 33,,
2018,Stormers,Chiefs,9 : 15,,
2018,Brumbies,Rebels,24 : 27,,
2018,Highlanders,Lions,39 : 27,,
2018,Crusaders,Waratahs,31 : 29,,
2018,Sunwolves,Reds,63 : 28,,
2018,Blues,Hurricanes,15 : 36,,
2018,Sharks,Highlanders,38 : 12,,
2018,Stormers,Bulls,29 : 17,,
2018,Waratahs,Blues,21 : 24,,
2018,Hurricanes,Lions,28 : 19,,
2018,Rebels,Crusaders,10 : 55,,
2018,Chiefs,Jaguares,19 : 23,,
2018,Bulls,Highlanders,28 : 29,,
2018,Brumbies,Crusaders,8 : 21,,
2018,Blues,Jaguares,13 : 20,,
2018,Reds,Lions,27 : 22,,
2018,Stormers,Rebels,34 : 18,,
2018,Hurricanes,Sunwolves,43 : 15,,
2018,Brumbies,Jaguares,20 : 25,,
2018,Sharks,Stormers,24 : 17,,
2018,Bulls,Rebels,28 : 10,,
2018,Reds,Chiefs,12 : 36,,
2018,Crusaders,Sunwolves,33 : 11,,
2018,Waratahs,Lions,0 : 29,,
2018,Blues,Highlanders,16 : 34,,
2018,Sharks,Bulls,10 : 40,,
2018,Waratahs,Reds,37 : 16,,
2018,Highlanders,Brumbies,43 : 17,,
2018,Rebels,Jaguares,22 : 25,,
2018,Sunwolves,Blues,10 : 24,,
2018,Hurricanes,Chiefs,25 : 13,,
2018,Jaguares,Crusaders,14 : 40,,
2018,Lions,Stormers,52 : 31,,
2018,Brumbies,Reds,45 : 21,,
2018,Chiefs,Blues,21 : 19,,
2018,Sunwolves,Waratahs,29 : 50,,
2018,Hurricanes,Sharks,38 : 37,,
2018,Lions,Crusaders,8 : 14,,
2018,Bulls,Stormers,33 : 23,,
2018,Brumbies,Waratahs,17 : 24,,
2018,Blues,Sharks,40 : 63,,
2018,Rebels,Hurricanes,19 : 50,,
2018,Chiefs,Highlanders,27 : 22,,
2018,Jaguares,Lions,49 : 35,,
2018,Stormers,Reds,25 : 19,,
2018,Hurricanes,Highlanders,29 : 12,,
2018,Sunwolves,Chiefs,10 : 61,,
2018,Rebels,Sharks,46 : 14,,
2018,Crusaders,Bulls,33 : 14,,
2018,Waratahs,Rebels,51 : 27,,
2018,Jaguares,Reds,7 : 18,,
2018,Lions,Sunwolves,40 : 38,,
2018,Stormers,Blues,37 : 20,,
2018,Brumbies,Sharks,24 : 17,,
2018,Highlanders,Crusaders,25 : 17,,
2018,Chiefs,Bulls,41 : 28,,
2018,Jaguares,Waratahs,38 : 28,,
2018,Lions,Blues,35 : 38,,
2018,Sharks,Sunwolves,50 : 22,,
2018,Reds,Bulls,20 : 14,,
2018,Hurricanes,Crusaders,29 : 19,,
2018,Rebels,Brumbies,33 : 10,,
2018,Highlanders,Stormers,33 : 15,,
2018,Jaguares,Hurricanes,9 : 34,,
2018,Bulls,Lions,35 : 49,,
2018,Sharks,Waratahs,24 : 24,,
2018,Crusaders,Stormers,45 : 28,,
2018,Sunwolves,Rebels,17 : 37,,
2018,Reds,Brumbies,18 : 10,,
2018,Blues,Chiefs,21 : 27,,
2018,Bulls,Hurricanes,21 : 19,,
2018,Lions,Jaguares,47 : 27,,
2018,Waratahs,Stormers,34 : 27,,
2018,Crusaders,Chiefs,45 : 23,,
2018,Sunwolves,Brumbies,25 : 32,,
2018,Rebels,Reds,45 : 19,,
2018,Highlanders,Blues,41 : 34,,
2018,Lions,Sharks,26 : 19,,
2018,Stormers,Jaguares,28 : 20,,
2017,Lions,Crusaders ,17 : 25,,
2017,Lions ,Hurricanes,44 : 29,,
2017,Crusaders ,Chiefs,27 : 13,,
2017,Stormers,Chiefs ,11 : 17,,
2017,Lions ,Sharks,23 : 21,,
2017,Crusaders ,Highlanders,17 : 0,,
2017,Brumbies,Hurricanes ,16 : 35,,
2017,Sharks,Lions,10 : 27,,
2017,Bulls,Stormers,33 : 41,,
2017,Western Force,Waratahs,40 : 11,,
2017,Hurricanes,Crusaders,31 : 22,,
2017,Chiefs,Brumbies,28 : 10,,
2017,Sunwolves,Blues,48 : 21,,
2017,Southern Kings,Cheetahs,20 : 21,,
2017,Rebels,Jaguares,29 : 32,,
2017,Highlanders,Reds,40 : 17,,
2017,Stormers,Sunwolves,52 : 15,,
2017,Bulls,Southern Kings,30 : 31,,
2017,Waratahs,Jaguares,27 : 40,,
2017,Western Force,Rebels,31 : 22,,
2017,Reds,Brumbies,16 : 15,,
