Season,Home Team,Away Team,Result,Winner,Diff
2019,Bulls,Lions,48 : 27,Bulls,21
2019,Stormers,Sharks,9 : 12,Sharks,-3
2019,Brumbies,Reds,40 : 27,Brumbies,13
2019,Hurricanes,Blues,29 : 24,Hurricanes,5
2019,Jaguares,Sunwolves,52 : 10,Jaguares,42
2019,Rebels,Chiefs,8 : 59,Chiefs,-51
2019,Highlanders,Waratahs,49 : 12,Highlanders,37
2019,Jaguares,Sharks,34 : 7,Jaguares,27
2019,Stormers,Sunwolves,31 : 18,Stormers,13
2019,Lions,Hurricanes,17 : 37,Hurricanes,-20
2019,Waratahs,Brumbies,24 : 35,Brumbies,-11
2019,Crusaders,Rebels,66 : 0,Crusaders,66
2019,Reds,Blues,29 : 28,Reds,1
2019,Highlanders,Bulls,24 : 24,-,0
2019,Lions,Stormers,41 : 22,Lions,19
2019,Sharks,Hurricanes,17 : 30,Hurricanes,-13
2019,Reds,Jaguares,23 : 34,Jaguares,-11
2019,Chiefs,Crusaders,40 : 27,Chiefs,13
2019,Sunwolves,Brumbies,19 : 42,Brumbies,-23
2019,Rebels,Waratahs,15 : 20,Waratahs,-5
2019,Blues,Bulls,22 : 22,-,0
2019,Sharks,Lions,27 : 17,Sharks,10
2019,Stormers,Highlanders,34 : 22,Stormers,12
2019,Waratahs,Jaguares,15 : 23,Jaguares,-8
2019,Crusaders,Blues,19 : 11,Crusaders,8
2019,Sunwolves,Rebels,7 : 52,Rebels,-45
2019,Brumbies,Bulls,22 : 10,Brumbies,12
2019,Chiefs,Reds,19 : 13,Chiefs,6
2019,Stormers,Crusaders,19 : 19,-,0
2019,Lions,Highlanders,38 : 29,Lions,9
2019,Reds,Waratahs,32 : 40,Waratahs,-8
2019,Blues,Chiefs,23 : 8,Blues,15
2019,Rebels,Bulls,17 : 32,Bulls,-15
2019,Hurricanes,Jaguares,20 : 28,Jaguares,-8
2019,Brumbies,Sunwolves,33 : 0,Brumbies,33
2019,Lions,Waratahs,29 : 28,Lions,1
2019,Chiefs,Sharks,29 : 23,Chiefs,6
2019,Highlanders,Jaguares,32 : 27,Highlanders,5
2019,Bulls,Crusaders,13 : 45,Crusaders,-32
2019,Rebels,Reds,30 : 24,Rebels,6
2019,Blues,Hurricanes,12 : 22,Hurricanes,-10
2019,Jaguares,Stormers,30 : 25,Jaguares,5
2019,Bulls,Waratahs,28 : 21,Bulls,7
2019,Brumbies,Blues,26 : 21,Brumbies,5
2019,Highlanders,Chiefs,31 : 31,-,0
2019,Hurricanes,Rebels,29 : 19,Hurricanes,10
2019,Reds,Sunwolves,32 : 26,Reds,6
2019,Crusaders,Sharks,21 : 21,-,0
2019,Jaguares,Brumbies,20 : 15,Jaguares,5
2019,Stormers,Bulls,24 : 23,Stormers,1
2019,Waratahs,Sharks,15 : 23,Sharks,-8
2019,Hurricanes,Chiefs,47 : 19,Hurricanes,28
2019,Sunwolves,Highlanders,0 : 52,Highlanders,-52
2019,Crusaders,Lions,36 : 10,Crusaders,26
2019,Stormers,Brumbies,17 : 19,Brumbies,-2
2019,Waratahs,Rebels,23 : 20,Waratahs,3
2019,Highlanders,Blues,24 : 12,Highlanders,12
2019,Sharks,Reds,14 : 21,Reds,-7
2019,Sunwolves,Hurricanes,23 : 29,Hurricanes,-6
2019,Chiefs,Lions,17 : 23,Lions,-6
2019,Bulls,Reds,32 : 17,Bulls,15
2019,Sharks,Jaguares,17 : 51,Jaguares,-34
2019,Brumbies,Lions,31 : 20,Brumbies,11
2019,Chiefs,Blues,33 : 29,Chiefs,4
2019,Rebels,Stormers,24 : 41,Stormers,-17
2019,Crusaders,Highlanders,43 : 17,Crusaders,26
2019,Bulls,Jaguares,20 : 22,Jaguares,-2
2019,Rebels,Sunwolves,42 : 15,Rebels,27
2019,Blues,Waratahs,32 : 29,Blues,3
2019,Crusaders,Brumbies,36 : 14,Crusaders,22
2019,Lions,Sharks,5 : 42,Sharks,-37
2019,Reds,Stormers,24 : 12,Reds,12
2019,Highlanders,Hurricanes,28 : 31,Hurricanes,-3
2019,Jaguares,Chiefs,27 : 30,Chiefs,-3
2019,Sharks,Bulls,16 : 19,Bulls,-3
2019,Reds,Rebels,13 : 32,Rebels,-19
2019,Blues,Stormers,24 : 9,Blues,15
2019,Waratahs,Sunwolves,29 : 31,Sunwolves,-2
